項番	番号	都道府県	遺跡名	所在地	サンプル採取地点等	試料の種類	試料コード1	試料コード2	時代	時代詳細	時代コード	試料番号	測定方法	C14年代	C14年代±	暦年較正用C14年代	暦年較正用C14年代±	δ13C（AMS）	δ13C（AMS）±	δ13C（IRMS）	分析者（著者）	分析機関	刊行年	報告タイトル	ページ	備考	報告書名	発行者
60	3723	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅱ,主要調査地点D,D10,207,河道1	土器付着物,煤,口縁外	O	q	縄文時代後期	堀之内2式	B	Beta-211229	AMS法	3630	40	----	----	-27.3	----	-27.3	学術創成研究グループ	Beta Analytic Inc.	2009	地域別測定データ	139-524	TTHS-18	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
61	3728	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅲ,主要調査地点C,C16,296,河道1	土器付着物,吹,胴外	O	q	縄文時代後期	称名寺式	B	MTC-06221	AMS法	3890	35	----	----	-24.6	----	-26	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-31	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
62	3729	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅲ,主要調査地点C,C16,258,河道1	土器付着物,焦,口縁外，胴内	O	q	縄文時代後期	堀之内1式?	B	MTC-06717	AMS法	3870	60	----	----	-26.7	----	-26.5	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-34	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
63	3727	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅱ,主要調査地点D,C16,388,河道1	土器付着物,焦,胴外	O	q	縄文時代後期	称名寺2式	B	Beta-193771	AMS法	3860	40	----	----	-25.9	----	-25.9	学術創成研究グループ	Beta Analytic Inc.	2009	地域別測定データ	139-524	TTHS-30	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
64	3726	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅱ,主要調査地点D,D9,3698,河道1	土器付着物,吹,口縁外	O	q	縄文時代後期	加曽利B1式	B	MTC-06220	AMS法	3525	35	----	----	-26.2	----	-25.6	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-26	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
65	3725	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅵ,主要調査地点B,B21,609,河道1(接合No.B105)	土器付着物,吹,口縁外	O	q	縄文時代後期	加曽利B1式	B	MTC-06219	AMS法	3470	40	----	----	-26.2	----	-26.2	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-23	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
66	3732	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅲ,主要調査地点C,E13,774,河道1	土器付着物,吹,口縁外	O	q	縄文時代後期	加曽利B3式	B	PLD-4633	AMS法	3215	25	----	----	-26.1	0.13	-26.49	学術創成研究グループ	パレオ・ラボ	2009	地域別測定データ	139-524	TTHS-40	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
67	3736	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅴ,主要調査地点A,C19,890,河道1	土器付着物,煤,口縁外	O	q	縄文時代後期	高井東式	B	PLD-4636	AMS法	3160	25	----	----	-23.9	0.11	-24.84	学術創成研究グループ	パレオ・ラボ	2009	地域別測定データ	139-524	TTHS-49 b	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
68	3740	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅴ,主要調査地点A,E19,2000,河道1	土器付着物,煤,口縁外	O	q	縄文時代後期	曽谷式	B	MTC-04603	AMS法	3260	35	----	----	-26.6	----	-26	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-54	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
69	3744	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅵ,主要調査地点B,B21,43,河道1	土器付着物,吹,口縁外	O	q	縄文時代晩期	大洞B-C式	B	MTC-04604	AMS法	2895	30	----	----	-22.4	----	-26.2	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-67	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
70	3745	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅱ,主要調査地点D,D9,989,河道1	土器付着物,吹,口縁外	O	q	縄文時代晩期	安行3a式	B	PLD-4639	AMS法	3475	35	----	----	-41.64	0.17	----	学術創成研究グループ	パレオ・ラボ	2009	地域別測定データ	139-524	TTHS-68	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
71	3743	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅵ,主要調査地点B,B21,155,河道1	土器付着物,焦,胴内	O	q	縄文時代晩期	大洞B-C式	B	MTC-06718	AMS法	2930	35	----	----	-27.7	----	-25.7	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-66	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
72	3742	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅲ,主要調査地点C,G12,1604,河道1	土器付着物,吹,口縁外	O	q	縄文時代後期	加曽利B2式	B	MTC-06224	AMS法	3395	35	----	----	-24.4	----	-25.8	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-59	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
73	3741	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅲ,主要調査地点C,F13,2256,河道1	土器付着物,吹,口縁外	O	q	縄文時代後期	加曽利B3式～曽谷式	B	MTC-06223	AMS法	3220	35	----	----	-23.9	----	-26	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-56	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
74	3739	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅴ,主要調査地点A,E19,2001,河道1	土器付着物,吹,口縁外	O	q	縄文時代後期	安行1式	B	MTC-04602	AMS法	3140	35	----	----	-32.4	----	-26.1	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-53	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
75	3738	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅴ,主要調査地点A,D19,2948,河道1	土器付着物,吹,口縁外	O	q	縄文時代後期	高井東式	B	PLD-4638	AMS法	3185	25	----	----	-24.33	0.15	-25.54	学術創成研究グループ	パレオ・ラボ	2009	地域別測定データ	139-524	TTHS-52 b	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
76	3737	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅴ,主要調査地点A,D19,2948,河道1	土器付着物,焦,口縁内	O	q	縄文時代後期	高井東式	B	PLD-4637	AMS法	3250	25	----	----	-25.17	0.14	-26.31	学術創成研究グループ	パレオ・ラボ	2009	地域別測定データ	139-524	TTHS-52 a	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
77	3735	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅴ,主要調査地点A,C19,890,①	土器付着物,焦,口縁内	O	q	縄文時代後期	高井東式	B	MTC-07164	AMS法	3285	30	----	----	-23.6	----	----	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-49 a (r)	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
78	3734	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅴ,主要調査地点A,C19,890,①	土器付着物,焦,口縁内	O	q	縄文時代後期	高井東式	B	PLD-4635	AMS法	3295	20	----	----	-23.15	0.12	-24.45	学術創成研究グループ	パレオ・ラボ	2009	地域別測定データ	139-524	TTHS-49 a	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
79	3733	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅴ,主要調査地点A,D20,1600,河道1	土器付着物,吹,口縁外	O	q	縄文時代後期	高井東式	B	PLD-4634	AMS法	3150	30	----	----	-25.8	0.12	-26.16	学術創成研究グループ	パレオ・ラボ	2009	地域別測定データ	139-524	TTHS-48	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
80	3731	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅲ,主要調査地点C,F13,2382,河道1	土器付着物,吹,口縁外	O	q	縄文時代後期	曽谷式	B	MTC-04601	AMS法	3230	35	----	----	-23	----	-26.9	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-38	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
81	3730	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅲ,主要調査地点C,F13,1879,河道1	土器付着物,吹,口縁外	O	q	縄文時代後期	加曽利B2～B3式	B	MTC-06222	AMS法	3270	35	----	----	-23	----	-26.3	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-37	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
82	3746	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅰ,主要調査地点F,D8,490,河道1	土器付着物,焦,胴内	O	q	縄文時代晩期	安行3c式	B	PLD-4640	AMS法	3070	25	----	----	-26.05	0.14	-27.43	学術創成研究グループ	パレオ・ラボ	2009	地域別測定データ	139-524	TTHS-69 a	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
83	3748	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅰ,主要調査地点F,D8,490,河道1	土器付着物,煤,胴外	O	q	縄文時代晩期	安行3c式	B	PLD-4641	AMS法	2940	25	----	----	-26.06	0.12	----	学術創成研究グループ	パレオ・ラボ	2009	地域別測定データ	139-524	TTHS-69 b	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
84	3750	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅵ,主要調査地点B,B22,2283,河道1	土器付着物,焦,胴内	O	q	縄文時代晩期	安行3b式	B	PLD-4642	AMS法	2970	20	----	----	-24.85	0.12	-25.94	学術創成研究グループ	パレオ・ラボ	2009	地域別測定データ	139-524	TTHS-71 a	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
85	3752	13：東京都	下宅部遺跡	東村山市多摩湖町4丁目3・4番地ほか	調査区Ⅵ,主要調査地点B,B22,1742,河道1	土器付着物,吹,口縁外	O	q	縄文時代晩期	安行3a式	B	MTC-04607	AMS法	2975	35	----	----	-25.7	----	----	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTHS-73	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
